Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Specificity
Random Forest,0.8690476190476191,1.0,0.5769230769230769,0.7317073170731707,0.903846153846154,1.0
Stacking Ensemble,0.8571428571428571,0.9375,0.5769230769230769,0.7142857142857143,0.8992042440318302,0.9827586206896551
Voting Ensemble,0.8571428571428571,0.9375,0.5769230769230769,0.7142857142857143,0.8985411140583555,0.9827586206896551
Gradient Boosting,0.8571428571428571,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.8958885941644563,0.9655172413793104
Logistic Regression,0.8333333333333334,0.875,0.5384615384615384,0.6666666666666666,0.8812997347480107,0.9655172413793104
